Lat.      Lon.      Sta.     Network
-97.7573  33.9574    Y34A    TA 
-97.7733  35.2352    W34A    TA 
-97.7969  36.0831   STN07    NX 
-97.8208  36.3074   STN13    NX 
-97.8326  34.601    X34A    OK 
-97.8326  34.601    X34A    TA 
-97.8327  38.9982    Q33A    TA 
-97.854  36.9196   STN24    NX 
-97.9025  36.6833   STN19    NX 
-97.9158  33.3712    Z34A    TA 
-97.9834  36.5047    CROK    OK 
-97.9842  38.3081    R33A    TA 
-98.0016  37.5936    S33A    TA 
-98.0795  32.5729    134A    TA 
-98.1135  36.4327    U33A    TA 
-98.1368  32.004    234A    TA 
-98.1502  41.4083    BGNE    TA 
-98.213  30.1664    GC18    X4 
-98.2379  31.3325    334A    TA 
-98.2444  37.0824    T33A    TA 
-98.269  30.8142    434A    TA 
-98.2764  40.261    O32A    TA 
-98.2862  35.8209    V33A    TA 
-98.2955  40.7639    N32A    TA 
-98.31  30.262    GC19    X4 
-98.312  32.8115    AZWR    ZW 
-98.3327  36.0171    HTCH    OK 
-98.4044  30.3099    GC20    X4 
-98.4686  35.1518    W33A    TA 
-98.5006  34.541    X33A    TA 
-98.5596  38.9908    Q32A    TA 
-98.6011  39.6223    P32A    TA 
-98.6256  34.0081    Y33A    TA 
-98.6889  35.6456    CSTR    OK 
-98.7111  38.4225    R32A    TA 
-98.7111  38.4225    R32B    N4 
-98.7648  33.2865    Z33A    TA 
-98.7807  34.7379    WMOK    US 
-98.8998  32.0179    233A    TA 
-98.9162  32.6083    133A    TA 
-98.9247  37.1797    T32A    TA 
-98.9363  37.7001    S32A    TA 
-98.9544  40.8235    N31A    TA 
-98.9766  41.344    M31A    TA 
-98.9841  31.3249    333A    TA 
-99.0014  36.3795    U32A    OK 
-99.0014  36.3795    U32A    TA 
-99.0437  35.7202    V32A    TA 
-99.091  30.7544    433A    TA 
-99.2458  35.1238    W32A    TA 
-99.2854  34.4214    X32A    TA 
-99.3261  40.1521    O31A    TA 
-99.3783  39.5211    P31A    TA 
-99.395  39.0048    Q31A    TA 
-99.418  36.0653    ELIS    OK 
-99.442  34.0036    Y32A    TA 
-99.4783  33.3066    Z32A    TA 
-99.4845  37.6193    S31A    TA 
-99.5271  38.2888    R31A    TA 
-99.6431  32.6238    ABTX    TA 
-99.6469  31.888    232A    TA 
-99.6771  37.0977    T31A    TA 
-99.7374  38.814    CBKS    US 
-99.7423  31.3829    332A    TA 
-99.7937  30.8755    432A    TA 
-99.8022  30.4794     JCT    US 
-99.8425  35.7739    V31A    TA 
-99.8508  36.3695    U31A    TA 
-99.8723  41.5371    M30A    TA 
-99.9435  35.1864    W31A    TA 
-99.9793  34.6309    X31A    TA 
